airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-03-27,Delhi,Cochin,02:15:00,2025-02-24 18:50:00,995,1.0,No info,12242
Indigo,2019-03-09,Delhi,Cochin,16:00:00,2025-02-24 21:00:00,300,1.0,No info,7725
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,2025-02-24 19:00:00,360,1.0,No info,14714
Air India,2019-05-18,Delhi,Cochin,09:45:00,2025-02-24 23:00:00,795,1.0,No info,8907
Air India,2019-06-01,Delhi,Cochin,12:30:00,2025-06-02 09:25:00,1255,1.0,No info,7480
Spicejet,2019-04-06,Kolkata,Banglore,09:00:00,2025-02-24 11:25:00,145,0.0,No check-in baggage included,3841
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,2025-05-13 10:05:00,845,1.0,In-flight meal not included,8586
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,2025-02-24 12:00:00,330,1.0,In-flight meal not included,8586
Multiple Carriers,2019-06-27,Delhi,Cochin,09:15:00,2025-02-24 19:00:00,585,1.0,No info,11622
Indigo,2019-04-24,Kolkata,Banglore,19:20:00,2025-02-24 23:45:00,265,1.0,No info,3480
Multiple Carriers,2019-05-18,Delhi,Cochin,17:50:00,2025-05-19 01:30:00,460,2.0,No info,19360
Indigo,2019-03-27,Chennai,Kolkata,07:55:00,2025-02-24 10:15:00,140,0.0,No info,3384
Spicejet,2019-05-18,Kolkata,Banglore,17:10:00,2025-02-24 19:40:00,150,0.0,No info,4174
Air India,2019-06-09,Kolkata,Banglore,10:00:00,2025-06-10 05:25:00,1165,2.0,No info,12744
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,2025-04-02 20:20:00,1440,1.0,No info,8452
Air India,2019-06-06,Delhi,Cochin,14:25:00,2025-06-07 19:15:00,1730,2.0,No info,13591
Indigo,2019-06-06,Chennai,Kolkata,07:55:00,2025-02-24 10:15:00,140,0.0,No info,3850
Jet Airways,2019-06-15,Delhi,Cochin,19:30:00,2025-06-16 12:35:00,1025,2.0,No info,13014
Vistara,2019-06-27,Delhi,Cochin,06:00:00,2025-02-24 09:10:00,190,0.0,No info,6216
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,2025-02-24 23:35:00,425,1.0,No info,14781
Air India,2019-03-03,Delhi,Cochin,07:05:00,2025-03-04 19:15:00,2170,2.0,No info,11762
Vistara,2019-06-21,Delhi,Cochin,06:00:00,2025-02-24 09:10:00,190,0.0,No info,6216
Indigo,2019-03-21,Delhi,Cochin,02:00:00,2025-02-24 07:45:00,345,1.0,No info,6426
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,2025-02-24 22:05:00,750,1.0,No info,12121
Indigo,2019-05-03,Banglore,Delhi,04:00:00,2025-02-24 06:50:00,170,0.0,No info,3943
Jet Airways,2019-05-09,Kolkata,Banglore,20:25:00,2025-05-10 09:45:00,800,1.0,In-flight meal not included,10703
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,2025-05-13 12:00:00,890,1.0,In-flight meal not included,9663
Indigo,2019-03-06,Chennai,Kolkata,22:05:00,2025-03-07 00:25:00,140,0.0,No info,5277
Air India,2019-05-27,Delhi,Cochin,09:00:00,2025-02-24 19:15:00,615,1.0,No info,9929
Air India,2019-03-03,Delhi,Cochin,19:45:00,2025-03-04 19:15:00,1410,2.0,No info,12646
Spicejet,2019-05-24,Mumbai,Hyderabad,05:45:00,2025-02-24 07:15:00,90,0.0,No check-in baggage included,1965
Multiple Carriers,2019-03-21,Delhi,Cochin,08:00:00,2025-02-24 18:50:00,650,1.0,No info,11667
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,2025-03-25 22:35:00,1610,1.0,No info,13759
Jet Airways,2019-05-06,Kolkata,Banglore,16:30:00,2025-05-07 20:45:00,1695,1.0,In-flight meal not included,9663
Jet Airways,2019-06-15,Delhi,Cochin,11:00:00,2025-02-24 14:15:00,195,0.0,No info,9564
Multiple Carriers,2019-05-18,Delhi,Cochin,08:00:00,2025-02-24 19:00:00,660,1.0,No info,10197
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,2025-05-22 09:45:00,1005,1.0,No info,13067
Multiple Carriers,2019-06-24,Delhi,Cochin,07:05:00,2025-02-24 21:00:00,835,1.0,No info,13797
Air Asia,2019-05-21,Banglore,Delhi,23:55:00,2025-05-22 02:45:00,170,0.0,No info,3383
Spicejet,2019-05-27,Chennai,Kolkata,17:45:00,2025-02-24 20:05:00,140,0.0,No check-in baggage included,3543
Jet Airways,2019-06-09,Delhi,Cochin,14:05:00,2025-06-10 12:35:00,1350,2.0,No info,13882
Multiple Carriers,2019-03-06,Delhi,Cochin,07:00:00,2025-02-24 18:50:00,710,1.0,No info,15867
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,2025-02-24 09:20:00,135,0.0,No info,4842
Multiple Carriers,2019-06-24,Delhi,Cochin,11:40:00,2025-02-24 19:15:00,455,1.0,In-flight meal not included,7268
Goair,2019-06-21,Banglore,Delhi,20:55:00,2025-02-24 23:40:00,165,0.0,No info,3898
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,2025-03-25 04:45:00,1220,1.0,In-flight meal not included,10031
Jet Airways,2019-05-12,Kolkata,Banglore,18:55:00,2025-05-13 04:40:00,585,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-09,Delhi,Cochin,06:00:00,2025-02-24 21:00:00,900,1.0,No info,7670
Air India,2019-03-18,Banglore,New Delhi,00:30:00,2025-02-24 08:45:00,495,1.0,No info,13859
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,2025-05-25 20:20:00,1640,1.0,No info,9870
Spicejet,2019-05-18,Chennai,Kolkata,08:20:00,2025-02-24 10:35:00,135,0.0,No info,3597
Air India,2019-05-12,Kolkata,Banglore,09:25:00,2025-05-13 13:45:00,1700,2.0,No info,12592
Jet Airways,2019-05-09,Delhi,Cochin,21:25:00,2025-05-10 12:35:00,910,2.0,In-flight meal not included,11507
Air India,2019-06-06,Delhi,Cochin,13:20:00,2025-06-07 07:40:00,1100,2.0,No info,12751
Jet Airways,2019-05-21,Delhi,Cochin,23:05:00,2025-05-23 04:25:00,1760,2.0,No info,15129
Jet Airways,2019-03-24,Mumbai,Hyderabad,15:50:00,2025-02-24 17:20:00,90,0.0,No info,5678
Air India,2019-06-03,Delhi,Cochin,05:15:00,2025-06-04 19:15:00,2280,3.0,No info,10493
Air India,2019-05-18,Kolkata,Banglore,12:00:00,2025-05-19 11:10:00,1390,2.0,No info,10676
Spicejet,2019-05-24,Banglore,Delhi,21:10:00,2025-05-25 00:05:00,175,0.0,No info,3971
Multiple Carriers,2019-06-03,Delhi,Cochin,12:50:00,2025-02-24 19:15:00,385,1.0,No info,9001
Jet Airways,2019-05-21,Delhi,Cochin,02:15:00,2025-02-24 12:35:00,620,1.0,In-flight meal not included,12898
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,2025-02-24 16:20:00,635,1.0,In-flight meal not included,10844
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,2025-03-25 04:45:00,540,1.0,No info,13759
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,2025-06-07 12:35:00,1615,2.0,In-flight meal not included,11733
Indigo,2019-04-21,Banglore,Delhi,01:30:00,2025-02-24 04:15:00,165,0.0,No info,4591
Jet Airways,2019-03-03,Banglore,New Delhi,05:45:00,2025-03-07 05:05:00,1400,1.0,In-flight meal not included,11087
